"conflict_id"	"country"	"year"	"conflict"
200	"Bolivia"	1946	1
200	"Bolivia"	1952	1
200	"Bolivia"	1967	1
201	"Cambodia (Kampuchea)"	1946	1
201	"Cambodia (Kampuchea)"	1947	1
201	"Cambodia (Kampuchea)"	1948	1
201	"Cambodia (Kampuchea)"	1949	1
201	"Cambodia (Kampuchea)"	1950	1
201	"Cambodia (Kampuchea)"	1951	1
201	"Cambodia (Kampuchea)"	1952	1
201	"Cambodia (Kampuchea)"	1953	1
202	"China"	1946	1
202	"China"	1947	1
202	"China"	1948	1
202	"China"	1949	1
203	"Greece"	1946	1
203	"Greece"	1947	1
203	"Greece"	1948	1
203	"Greece"	1949	1
204	"Indonesia"	1946	1
204	"Indonesia"	1947	1
204	"Indonesia"	1948	1
204	"Indonesia"	1949	1
205	"Iran"	1946	1
205	"Iran"	1966	1
205	"Iran"	1967	1
205	"Iran"	1968	1
205	"Iran"	1979	1
205	"Iran"	1980	1
205	"Iran"	1981	1
205	"Iran"	1982	1
205	"Iran"	1983	1
205	"Iran"	1984	1
205	"Iran"	1985	1
205	"Iran"	1986	1
205	"Iran"	1987	1
205	"Iran"	1988	1
205	"Iran"	1990	1
205	"Iran"	1993	1
205	"Iran"	1996	1
205	"Iran"	2016	1
206	"Iran"	1946	1
207	"Israel"	1946	1
208	"Laos"	1946	1
208	"Laos"	1947	1
208	"Laos"	1948	1
208	"Laos"	1949	1
208	"Laos"	1950	1
208	"Laos"	1951	1
208	"Laos"	1952	1
208	"Laos"	1953	1
209	"Philippines"	1946	1
209	"Philippines"	1947	1
209	"Philippines"	1948	1
209	"Philippines"	1949	1
209	"Philippines"	1950	1
209	"Philippines"	1951	1
209	"Philippines"	1952	1
209	"Philippines"	1953	1
209	"Philippines"	1954	1
209	"Philippines"	1969	1
209	"Philippines"	1970	1
209	"Philippines"	1971	1
209	"Philippines"	1972	1
209	"Philippines"	1973	1
209	"Philippines"	1974	1
209	"Philippines"	1975	1
209	"Philippines"	1976	1
209	"Philippines"	1977	1
209	"Philippines"	1978	1
209	"Philippines"	1979	1
209	"Philippines"	1980	1
209	"Philippines"	1981	1
209	"Philippines"	1982	1
209	"Philippines"	1983	1
209	"Philippines"	1984	1
209	"Philippines"	1985	1
209	"Philippines"	1986	1
209	"Philippines"	1987	1
209	"Philippines"	1988	1
209	"Philippines"	1989	1
209	"Philippines"	1990	1
209	"Philippines"	1991	1
209	"Philippines"	1992	1
209	"Philippines"	1993	1
209	"Philippines"	1994	1
209	"Philippines"	1995	1
209	"Philippines"	1997	1
209	"Philippines"	1999	1
209	"Philippines"	2000	1
209	"Philippines"	2001	1
209	"Philippines"	2002	1
209	"Philippines"	2003	1
209	"Philippines"	2004	1
209	"Philippines"	2005	1
209	"Philippines"	2006	1
209	"Philippines"	2007	1
209	"Philippines"	2008	1
209	"Philippines"	2009	1
209	"Philippines"	2010	1
209	"Philippines"	2011	1
209	"Philippines"	2012	1
209	"Philippines"	2013	1
209	"Philippines"	2014	1
209	"Philippines"	2015	1
