"country"	"km_dist"
"Canada"	731
"Bahamas"	1623
"Cuba"	1813
"Haiti"	2286
"Haiti"	2286
"Dominican Republic"	2358
"Jamaica"	2315
"Trinidad and Tobago"	3494
"Barbados"	3330
"Belize"	2606
"Mexico"	3024
"Guatemala"	2993
"Honduras"	2922
"El Salvador"	3024
"Nicaragua"	3103
"Costa Rica"	3282
"Panama"	3325
"Colombia"	3808
"Venezuela"	3349
"Guyana"	4009
"Surinam"	4273
"Ecuador"	4314
"Peru"	5651
"Brazil"	6722
"Bolivia"	6170
"Paraguay"	7383
"Chile"	8015
"Argentina"	8318
"Uruguay"	8382
"Ireland"	5445
"Netherlands"	6198
"Belgium"	6246
"Luxembourg"	6381
"France"	6194
"Switzerland"	6629
"Spain"	6105
"Portugal"	5759
"Germany"	6739
"German Federal Republic"	6432
"German Democratic Republic"	6739
"Poland"	7197
"Austria-Hungary"	7130
"Austria"	7130
"Hungary"	7368
"Czechoslovakia"	6905
"Czech Republic"	6905
"Slovakia"	7183
"Italy/Sardinia"	7273
"Malta"	7727
"Albania"	7777
"Serbia, Republic of"	7635
"Serbia, Republic of"	7635
"Montenegro, Republic of"	7654
"Montenegro, Republic of"	7654
"Macedonia, the Former Yugoslav Republic of"	7833
"Croatia"	7275
"Yugoslavia"	7635
"Bosnia and Herzegovina"	7562
"Slovenia"	7122
"Greece"	8244
"Cyprus"	9119
"Bulgaria"	7952
"Moldova, Republic of"	7970
"Romania"	8006
"Russian Federation"	7873
"Estonia"	6981
"Estonia"	6981
"Latvia"	7126
"Latvia"	7126
"Lithuania"	7320
"Lithuania"	7320
"Ukraine"	7858
"Belarus"	7500
"Armenia"	9418
"Georgia"	9433
"Azerbaijan"	9708
"Finland"	6934
"Sweden"	6647
"Norway"	6260
"Denmark"	6535
"Iceland"	4526
"Cape Verde"	5715
"Guinea-Bissau"	6761
"Equatorial Guinea"	9602
"Gambia"	6540
"Mali"	7353
"Senegal"	6400
"Benin"	8686
"Mauritania"	6270
"Niger"	8166
"Cote D’Ivoire"	7994
"Guinea"	7073
"Burkina Faso"	7917
"Liberia"	7527
"Sierra Leone"	7172
"Ghana"	8540
"Togo"	8559
"Cameroon"	9657
"Nigeria"	8744
"Gabon"	9696
"Central African Republic"	10209
"Chad"	9338
"Congo"	10484
"Congo, the Democratic Republic of the"	10484
"Uganda"	11674
"Kenya"	12116
"Tanzania, United Republic of"	12691
"Zanzibar"	12686
"Burundi"	11623
"Rwanda"	11557
"Somalia"	12582
"Djibouti"	11654
"Ethiopia"	11513
"Eritrea"	11041
"Angola"	10578
"Mozambique"	13403
"Zambia"	12375
"Zimbabwe"	12721
"Malawi"	12690
"South Africa"	12989
"Transvaal"	12989
"Orange Free State"	13048
"Namibia"	11858
"Lesotho"	13123
"Botswana"	12730
"Swaziland"	13287
"Madagascar"	14225
"Madagascar"	14225
"Comoros"	13383
"Mauritius"	15205
"Morocco"	6187
"Morocco"	6187
"Algeria"	6824
"Algeria"	6824
"Tunisia"	7377
"Tunisia"	7377
"Libya"	7874
"Libya"	7874
"Sudan"	10577
"Iran, Islamic Republic of"	10233
"Turkey"	8782
"Iraq"	9988
"Egypt"	9355
"Egypt"	9355
"Syrian Arab Republic"	9470
"Lebanon"	9411
"Jordan"	9598
"Israel"	9449
"Saudi Arabia"	10899
"Yemen"	11457
"Yemen, Peoples Republic of	30:11:1967	21:05:1990
690	KUW	Kuwait	19:06:1961	31:12:2017
692	BAH	Bahrain	15:08:1971	31:12:2017
694	QAT	Qatar	03:09:1971	31:12:2017
696	UAE	United Arab Emirates	02:12:1971	31:12:2017
698	OMA	Oman	01:01:1816	31:12:2017
700	AFG	Afghanistan	01:01:1816	30:12:1888
700	AFG	Afghanistan	01:05:1919	31:12:2017
701	TKM	Turkmenistan	27:10:1991	31:12:2017
702	TAJ	Tajikistan	09:09:1991	31:12:2017
703	KYR	Kyrgyz Republic	31:08:1991	31:12:2017
704	UZB	Uzbekistan	31:08:1991	31:12:2017
705	KZK	Kazakhstan	16:12:1991	31:12:2017
710	CHN	China	01:01:1816	31:12:2017
711	TBT	Tibet	01:01:1913	01:10:1950
712	MON	Mongolia	13:03:1921	31:12:2017
713	TAW	Taiwan	08:12:1949	31:12:2017
730	KOR	Korea	01:01:1816	22:08:1910
731	PRK	Korea, Peoples Republic of"	11758
"Korea, Republic of (South Korea)"	11218
"Japan"	10960
"India"	12106
"Bhutan"	12551
"Pakistan"	11431
"Bangladesh"	13000
"Myanmar"	13859
"Myanmar"	13859
"Sri Lanka"	14469
"Nepal"	12451
"Maldives"	14406
"Thailand"	14227
"Cambodia"	14454
"Lao People's Democratic Republic"	13787
"Vietnam (Annam/Cochin China/Tonkin)"	14478
"Vietnam"	13347
"Vietnam, Republic of"	14478
"Malaysia"	15350
"Singapore"	15572
"Brunei Darussalam"	15040
"Philippines"	13834
"Indonesia"	16337
"East Timor"	15953
"Australia"	15923
"Papua New Guinea"	14497
"New Zealand"	14058
"Solomon Islands"	13473
"Fiji"	12479
"Afghanistan"	11132
"Bahrain"	10951
"China"	11139
"Italy"	7212
"Kazakhstan"	9536
"Korea, Dem. People's Republic of (North Korea)"	11035
"Kuwait"	10518
"Kyrgyzstan"	10475
"Mongolia"	10350
"Oman"	11655
"Qatar"	11091
"Suriname"	4278
"Taiwan, Province of China"	12639
"Tajikistan"	10715
"Turkmenistan"	10321
"United Arab Emirates"	11339
"United Kingdom"	5894
"United States"	0
"Uzbekistan"	10458
