"year"	"country"	"fdi"	"population"	"arms_exports"	"conflict_id"	"conflict"	"polity2"	"alliance"	"km_dist"	"gdp"	"gdp_perc_growth"
2004	"Afghanistan"	0	24118979	NA	333	1	NA	NA	NA	5285465685.86423	0.153114291084542
2005	"Afghanistan"	0	25070798	19	333	1	NA	NA	NA	6275073571.54659	0.187231919474764
2006	"Afghanistan"	0	25893450	NA	333	1	NA	NA	NA	7057598406.61553	0.124703690904468
2007	"Afghanistan"	0	26616792	22	333	1	NA	NA	NA	9843842455.48323	0.394786425684972
2008	"Afghanistan"	0	27294031	78	333	1	NA	NA	NA	10190529882.4878	0.0352187094188467
2009	"Afghanistan"	-1e+06	28004331	280	333	1	NA	NA	NA	12486943505.7381	0.225347813090332
2010	"Afghanistan"	-1e+06	28803167	245	333	1	NA	NA	NA	15936800636.2487	0.276277147319942
2011	"Afghanistan"	-1e+06	29708599	520	333	1	NA	NA	NA	17930239399.8149	0.125083999547065
2012	"Afghanistan"	-1e+06	30696958	410	333	1	NA	NA	NA	20536542736.7297	0.145357977592965
2003	"Albania"	-1e+06	3111005	NA	NA	NA	7	NA	7777	5746945912.58082	0.295793461407663
2006	"Albania"	0	3054331	NA	NA	NA	9	NA	7777	8992642348.7871	0.102235539808165
2007	"Albania"	0	3023907	NA	NA	NA	9	NA	7777	10701011896.7708	0.18997414572082
2008	"Albania"	0	2991651	NA	NA	NA	9	NA	7777	12881352687.7773	0.203750898703743
2009	"Albania"	0	2962635	NA	NA	NA	9	NA	7777	12044212903.8168	-0.0649884995971608
2010	"Albania"	0	2940525	NA	NA	NA	9	NA	7777	11926953258.916	-0.00973576653262575
2011	"Albania"	0	2926659	NA	NA	NA	9	NA	7777	12890867538.5302	0.0808181484985383
2012	"Albania"	0	2920039	NA	NA	NA	9	NA	7777	12319784787.2987	-0.0443013435305699
2003	"Algeria"	6.36e+08	32403514	NA	386	1	-3	NA	6824	67863829880.4832	0.195621641601641
2003	"Algeria"	6.36e+08	32403514	NA	386	1	-3	NA	6824	67863829880.4832	0.195621641601641
2004	"Algeria"	-2.05e+08	32831096	NA	386	1	2	NA	6824	85324998813.604	0.257297134038443
2004	"Algeria"	-2.05e+08	32831096	NA	386	1	2	NA	6824	85324998813.604	0.257297134038443
2005	"Algeria"	1.079e+09	33288437	NA	386	1	2	NA	6824	103198228458.588	0.209472369100512
2005	"Algeria"	1.079e+09	33288437	NA	386	1	2	NA	6824	103198228458.588	0.209472369100512
2006	"Algeria"	1.781e+09	33777915	NA	386	1	2	NA	6824	117027304746.54	0.134004977551542
2006	"Algeria"	1.781e+09	33777915	NA	386	1	2	NA	6824	117027304746.54	0.134004977551542
2007	"Algeria"	1.117e+09	34300076	NA	386	1	2	NA	6824	134977087734.008	0.153381153452555
2007	"Algeria"	1.117e+09	34300076	NA	386	1	2	NA	6824	134977087734.008	0.153381153452555
2008	"Algeria"	-4.01e+08	34860715	NA	386	1	2	NA	6824	171000691877.714	0.266886808335173
2008	"Algeria"	-4.01e+08	34860715	NA	386	1	2	NA	6824	171000691877.714	0.266886808335173
2009	"Algeria"	5.78e+08	35465760	NA	386	1	2	NA	6824	137211039898.193	-0.197599504472676
2009	"Algeria"	5.78e+08	35465760	NA	386	1	2	NA	6824	137211039898.193	-0.197599504472676
2010	"Algeria"	7.15e+08	36117637	11	386	1	2	NA	6824	161207268655.392	0.174885554216363
2010	"Algeria"	7.15e+08	36117637	11	386	1	2	NA	6824	161207268655.392	0.174885554216363
2011	"Algeria"	5.82e+08	36819558	11	386	1	2	NA	6824	200019057307.655	0.240757063722913
2011	"Algeria"	5.82e+08	36819558	11	386	1	2	NA	6824	200019057307.655	0.240757063722913
2012	"Algeria"	-7.53e+08	37565847	NA	386	1	2	NA	6824	209058991952.125	0.0451953667123099
2012	"Algeria"	-7.53e+08	37565847	NA	386	1	2	NA	6824	209058991952.125	0.0451953667123099
2003	"Andorra"	0	73182	NA	NA	NA	NA	NA	NA	2398645598.19413	0.384006826983502
2006	"Andorra"	0	80991	NA	NA	NA	NA	NA	NA	3543256805.92147	0.0882943328984384
2007	"Andorra"	0	82683	NA	NA	NA	NA	NA	NA	4016972351.49192	0.133694951147424
2008	"Andorra"	0	83861	NA	NA	NA	NA	NA	NA	4007353156.58415	-0.00239463806719943
2009	"Andorra"	0	84462	NA	NA	NA	NA	NA	NA	3660530702.97305	-0.0865465158820017
2010	"Andorra"	0	84449	NA	NA	NA	NA	NA	NA	3355695364.23841	-0.0832762687899477
2011	"Andorra"	0	83751	NA	NA	NA	NA	NA	NA	3442062830.13622	0.0257375764255083
2012	"Andorra"	0	82431	NA	NA	NA	NA	NA	NA	3164615186.94591	-0.0806050490308249
